x_chief,y_chief,z_chief,x_deputy1,y_deputy1,z_deputy1,x_deputy2,y_deputy2,z_deputy2,x_deputy3,y_deputy3,z_deputy3
-4.995401318752971747e+03,-6.238096531344847335e+02,4.721711556117827058e+03,-4.997832925334877473e+03,-6.237501596515043047e+02,4.718984945852931560e+03,-4.987084542631808290e+03,-6.240354863384434339e+02,4.732927958624759412e+03,-4.985870466523612777e+03,-6.286940879435813940e+02,4.738200338546802413e+03
-5.299065092681127680e+03,-5.796588870697544280e+02,4.384889817363685324e+03,-5.301396220530777100e+03,-5.795633599758771197e+02,4.382049605487885856e+03,-5.291151730797171695e+03,-5.800410829306823643e+02,4.396628210999770999e+03,-5.290130835340029989e+03,-5.844749506398691210e+02,4.402315560869442379e+03
-5.579647262748108005e+03,-5.329832653436499186e+02,4.028915522746769057e+03,-5.581867467324614154e+03,-5.328520867794617288e+02,4.025973857223159939e+03,-5.572186352425233963e+03,-5.335217625888059274e+02,4.041136845384976823e+03,-5.571395288069954404e+03,-5.377151527519446290e+02,4.047241254352558826e+03
-5.835919166525597575e+03,-4.839854745573891819e+02,3.655338833269147926e+03,-5.838019422733590545e+03,-4.838192758202491177e+02,3.652309020093895015e+03,-5.828955721175269900e+03,-4.846791307930211588e+02,3.667998849248291663e+03,-5.828432371595307814e+03,-4.886171052769298058e+02,3.674518785183803175e+03
-6.066757630405449163e+03,-4.328784465855127905e+02,3.265787784797729273e+03,-6.068730483369687136e+03,-4.326780906525660271e+02,3.262684116504189660e+03,-6.060332008761675752e+03,-4.337250775133995262e+02,3.278837543887543688e+03,-6.060115147482543762e+03,-4.373935396815397212e+02,3.285767631394967793e+03
-6.271150118148837464e+03,-3.798844436099701056e+02,2.861961271244585078e+03,-6.272989812087043902e+03,-3.796510046257528188e+02,2.858798835627921108e+03,-6.265297450669915634e+03,-3.808808743890961068e+02,2.875347646523307048e+03,-6.265426367454251704e+03,-3.842666041232573093e+02,2.882678481484017993e+03
-6.448199407337217053e+03,-3.252340955183385063e+02,2.445621665093931824e+03,-6.449901989836892426e+03,-3.249688355976753087e+02,2.442416137024202726e+03,-6.442949090232261369e+03,-3.263762234021055519e+02,2.459287962299501487e+03,-6.443463191333595205e+03,-3.294669113940840930e+02,2.467005967013335521e+03
-6.597127762070620520e+03,-2.691653937579113745e+02,2.018587106776631572e+03,-6.598691161468084829e+03,-2.688697375051199288e+02,2.015354526336687286e+03,-6.592503028398062270e+03,-2.704482609448791095e+02,2.032473736283478729e+03,-6.593441415354313904e+03,-2.732325424449489901e+02,2.040561058770102363e+03
-6.717280572593105717e+03,-2.119226462235300517e+02,1.582723498093574335e+03,-6.718704646599916487e+03,-2.115981534124037466e+02,1.579480038591873836e+03,-6.713298148661721825e+03,-2.133405216841813967e+02,1.596768699395996009e+03,-6.714699180790138598e+03,-2.158080098443784607e+02,1.605203159831985204e+03
-6.808129435435713276e+03,-1.537553982130197596e+02,1.139936238356712920e+03,-6.809415989650622578e+03,-1.534037351074993580e+02,1.136697968015786728e+03,-6.804799289336193397e+03,-1.553018671007787930e+02,1.154076845839556199e+03,-6.806700135501515433e+03,-1.574431859958067150e+02,1.162831932447613781e+03
-6.869274651115450979e+03,-9.491732489668488881e+01,6.921617450501838675e+02,-6.870427426589580136e+03,-9.454023471857269101e+01,6.889443863515093653e+02,-6.866599838647814067e+03,-9.658538402231559417e+01,7.063339829273999158e+02,-6.869036024193343110e+03,-9.839220137055545479e+01,7.153788989153987359e+02
-6.900447120357486710e+03,-3.566510110439210024e+01,2.413588035216246510e+02,-6.901471749935360094e+03,-3.526437417112099126e+01,2.381774942914736641e+02,-6.898423731927978224e+03,-3.744725885238811713e+01,2.554990971483633189e+02,-6.901428686875312451e+03,-3.891231839557246985e+01,2.647988595315908356e+02
-6.901509624143202018e+03,2.374274547530406565e+01,-2.105002075851387247e+02,-6.902413557870559089e+03,2.416530141349102578e+01,-2.136311472405939185e+02,-6.900126834419324950e+03,2.185436647892263196e+01,-1.964544172510209137e+02,-6.903731449149614491e+03,2.073721304465124504e+01,-1.869388269050933218e+02
-6.872457477541362096e+03,8.304699137346121063e+01,-6.614381668163904351e+02,-6.873249877999707678e+03,8.348958007180968366e+01,-6.645054576764828198e+02,-6.871697697814399362e+03,8.106055056844938633e+01,-6.475476189985934070e+02,-6.875929892437806302e+03,8.029631228335918536e+01,-6.378590526704068679e+02
-6.813418552154675126e+03,1.419888782512185799e+02,-1.109482086967406758e+03,-6.814110161139249612e+03,1.424497426739457921e+02,-1.112473700052041067e+03,-6.813257683506759349e+03,1.399127141535819021e+02,-1.095804920401917343e+03,-6.818141997006089696e+03,1.395052303446258861e+02,-1.085989812133823534e+03
-6.724652667003170791e+03,2.003112711478652841e+02,-1.552671969012937325e+03,-6.725255645492916301e+03,2.007887194516164868e+02,-1.555577317434466977e+03,-6.725060450552712609e+03,1.981538007586537447e+02,-1.539262977766218455e+03,-6.730617655553655823e+03,1.981057117476079839e+02,-1.529371044938184241e+03
